Year,Title,Experience,Employment Status,Salary (USD),Employee Residence,Remote Ratio,Company Location,Company Size
2024,Engineering Manager,Senior-level / Expert,Full-time,294000,United States,0,United States,Medium (50-250)
2024,Platform Engineer,Senior-level / Expert,Full-time,98300,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,95722,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,159869,United States,0,United States,Medium (50-250)
2024,Software Engineer,Entry-level / Junior,Full-time,112200,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,76218,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,339250,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,50812,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,133000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,209000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,220000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Mid-level / Intermediate,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Mid-level / Intermediate,Full-time,127000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,130200,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,106600,United States,0,United States,Medium (50-250)
2024,Data Engineer,Mid-level / Intermediate,Full-time,172000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Mid-level / Intermediate,Full-time,75600,United States,0,United States,Medium (50-250)
2024,ML Infrastructure Engineer,Senior-level / Expert,Full-time,297000,United States,0,United States,Medium (50-250)
2024,ML Infrastructure Engineer,Senior-level / Expert,Full-time,127000,United States,0,United States,Medium (50-250)
2024,AI Engineer,Mid-level / Intermediate,Full-time,157500,United States,0,United States,Medium (50-250)
2024,AI Engineer,Mid-level / Intermediate,Full-time,132500,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,215000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,100200,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,172000,Egypt,0,Egypt,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,75600,Egypt,0,Egypt,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,192000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,228000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,129000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Entry-level / Junior,Full-time,97000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,264000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,276000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,156000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Entry-level / Junior,Full-time,171000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,112000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Mid-level / Intermediate,Full-time,179000,United States,0,United States,Medium (50-250)
2024,Business Analyst,Mid-level / Intermediate,Full-time,105000,United States,100,United States,Medium (50-250)
2024,Business Analyst,Mid-level / Intermediate,Full-time,90000,United States,100,United States,Medium (50-250)
2024,Data Product Owner,Mid-level / Intermediate,Full-time,209000,United States,100,United States,Medium (50-250)
2024,Data Product Owner,Mid-level / Intermediate,Full-time,101000,United States,100,United States,Medium (50-250)
2024,Business Intelligence Engineer,Mid-level / Intermediate,Full-time,65000,United States,100,United States,Medium (50-250)
2024,Business Intelligence Engineer,Mid-level / Intermediate,Full-time,89500,United States,100,United States,Medium (50-250)
2024,Business Intelligence Engineer,Senior-level / Expert,Full-time,189000,United States,0,United States,Medium (50-250)
2024,Business Intelligence Engineer,Senior-level / Expert,Full-time,107000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Mid-level / Intermediate,Full-time,206690,Great Britain,0,Great Britain,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Mid-level / Intermediate,Full-time,119800,Great Britain,0,Great Britain,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,127000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,209600,United States,0,United States,Medium (50-250)
2024,DevOps Engineer,Senior-level / Expert,Full-time,276000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,149300,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,247610,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,191335,United States,0,United States,Medium (50-250)
2024,DevOps Engineer,Senior-level / Expert,Full-time,148000,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,247610,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,191335,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,247610,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,191335,United States,0,United States,Medium (50-250)
2024,Business Intelligence,Executive-level / Director,Full-time,78000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,200200,United States,0,United States,Medium (50-250)
2024,Business Intelligence,Executive-level / Director,Full-time,110000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,184379,United States,0,United States,Medium (50-250)
2024,DevOps Engineer,Mid-level / Intermediate,Full-time,201900,United States,0,United States,Medium (50-250)
2024,DevOps Engineer,Mid-level / Intermediate,Full-time,97335,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,127000,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,171350,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,85850,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,171350,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,127000,United States,0,United States,Medium (50-250)
2024,Associate,Mid-level / Intermediate,Full-time,85850,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,180000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,127000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,339250,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Site Reliability Engineer,Mid-level / Intermediate,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,127000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,154000,United States,0,United States,Medium (50-250)
2024,Software Development Engineer,Mid-level / Intermediate,Full-time,158620,United States,0,United States,Medium (50-250)
2024,Software Engineer,Mid-level / Intermediate,Full-time,297000,United States,0,United States,Medium (50-250)
2024,Software Development Engineer,Mid-level / Intermediate,Full-time,79310,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,170000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,131000,United States,0,United States,Medium (50-250)
2024,Lead Engineer,Senior-level / Expert,Full-time,154000,United States,100,United States,Medium (50-250)
2024,Lead Engineer,Senior-level / Expert,Full-time,98000,United States,100,United States,Medium (50-250)
